image_path,xmin,ymin,xmax,ymax,label
DSNY_002_2018.jpg,316,284,379,357,Tree
MLBS_073_2018.jpg,177,67,250,133,Tree
MLBS_073_2018.jpg,330,263,357,294,Tree
MLBS_073_2018.jpg,180,220,196,247,Tree
MLBS_073_2018.jpg,161,188,187,218,Tree
MLBS_073_2018.jpg,131,207,176,255,Tree
MLBS_073_2018.jpg,361,93,399,135,Tree
MLBS_073_2018.jpg,1,181,32,250,Tree
MLBS_073_2018.jpg,220,358,251,396,Tree
MLBS_073_2018.jpg,131,371,171,399,Tree
MLBS_073_2018.jpg,177,361,220,399,Tree
MLBS_073_2018.jpg,157,323,203,365,Tree
MLBS_073_2018.jpg,198,300,260,360,Tree
MLBS_073_2018.jpg,142,268,198,321,Tree
MLBS_073_2018.jpg,253,53,319,113,Tree
MLBS_073_2018.jpg,259,1,334,49,Tree
MLBS_073_2018.jpg,338,221,366,263,Tree
MLBS_073_2018.jpg,340,153,399,221,Tree
MLBS_073_2018.jpg,190,231,250,291,Tree
MLBS_073_2018.jpg,88,257,135,310,Tree
MLBS_073_2018.jpg,357,354,399,399,Tree
MLBS_073_2018.jpg,365,245,399,282,Tree
MLBS_073_2018.jpg,351,284,395,334,Tree
MLBS_073_2018.jpg,346,1,399,51,Tree
MLBS_073_2018.jpg,322,56,374,130,Tree
MLBS_073_2018.jpg,108,1,155,49,Tree
MLBS_073_2018.jpg,7,132,45,174,Tree
MLBS_073_2018.jpg,1,249,34,297,Tree
MLBS_073_2018.jpg,46,195,76,220,Tree
MLBS_073_2018.jpg,26,213,76,252,Tree
MLBS_073_2018.jpg,162,6,210,60,Tree
MLBS_073_2018.jpg,35,251,87,307,Tree
MLBS_073_2018.jpg,215,19,250,63,Tree
MLBS_073_2018.jpg,119,53,173,101,Tree
MLBS_073_2018.jpg,255,359,326,399,Tree
MLBS_073_2018.jpg,111,157,160,206,Tree
MLBS_073_2018.jpg,72,353,121,395,Tree
MLBS_073_2018.jpg,23,355,75,399,Tree
MLBS_073_2018.jpg,1,297,38,352,Tree
MLBS_073_2018.jpg,34,13,82,64,Tree
MLBS_073_2018.jpg,1,75,30,135,Tree
MLBS_073_2018.jpg,193,207,224,232,Tree
MLBS_073_2018.jpg,118,238,148,269,Tree
MLBS_073_2018.jpg,49,148,110,195,Tree
MLBS_073_2018.jpg,78,194,120,241,Tree
MLBS_073_2018.jpg,274,285,341,334,Tree
MLBS_073_2018.jpg,107,309,159,369,Tree
MLBS_073_2018.jpg,183,136,248,197,Tree
MLBS_073_2018.jpg,56,312,87,348,Tree
MLBS_073_2018.jpg,112,102,167,153,Tree
MLBS_073_2018.jpg,244,179,296,224,Tree
MLBS_073_2018.jpg,267,223,328,278,Tree
MLBS_073_2018.jpg,270,113,330,186,Tree
MLBS_073_2018.jpg,67,85,109,132,Tree
BART_036_2019.jpg,122,291,187,326,Tree
BART_036_2019.jpg,244,289,307,365,Tree
BART_036_2019.jpg,373,307,399,346,Tree
BART_036_2019.jpg,306,373,355,399,Tree
BART_036_2019.jpg,264,1,294,43,Tree
BART_036_2019.jpg,170,312,248,399,Tree
BART_036_2019.jpg,202,251,251,312,Tree
BART_036_2019.jpg,368,149,399,191,Tree
BART_036_2019.jpg,374,200,399,243,Tree
BART_036_2019.jpg,360,95,399,145,Tree
BART_036_2019.jpg,310,109,361,162,Tree
BART_036_2019.jpg,273,161,369,270,Tree
BART_036_2019.jpg,129,30,192,90,Tree
BART_036_2019.jpg,114,77,162,119,Tree
BART_036_2019.jpg,6,96,74,152,Tree
BART_036_2019.jpg,43,329,72,354,Tree
BART_036_2019.jpg,105,238,169,289,Tree
BART_036_2019.jpg,196,1,270,36,Tree
BART_036_2019.jpg,294,3,344,50,Tree
BART_036_2019.jpg,306,54,355,116,Tree
BART_036_2019.jpg,373,1,399,41,Tree
BART_036_2019.jpg,72,1,137,44,Tree
BART_036_2019.jpg,1,199,37,254,Tree
BART_036_2019.jpg,140,326,172,368,Tree
BART_036_2019.jpg,91,329,139,385,Tree
BART_036_2019.jpg,305,280,353,349,Tree
BART_036_2019.jpg,166,221,215,280,Tree
BART_036_2019.jpg,1,29,87,101,Tree
BART_036_2019.jpg,259,87,303,125,Tree
BART_036_2019.jpg,261,44,304,88,Tree
BART_036_2019.jpg,241,229,265,249,Tree
BART_036_2019.jpg,43,174,134,251,Tree
BART_036_2019.jpg,13,349,60,388,Tree
BART_036_2019.jpg,213,156,270,210,Tree
BART_036_2019.jpg,86,120,146,178,Tree
BART_036_2019.jpg,1,144,44,201,Tree
BART_036_2019.jpg,220,113,266,160,Tree
BART_036_2019.jpg,1,257,62,332,Tree
BART_036_2019.jpg,63,263,114,328,Tree
BART_036_2019.jpg,157,174,219,227,Tree
BART_036_2019.jpg,147,112,211,172,Tree
BART_036_2019.jpg,194,43,260,111,Tree
SJER_004_2018.jpg,225,109,307,201,Tree
SERC_004_2019.jpg,265,277,306,310,Tree
SERC_004_2019.jpg,308,260,363,303,Tree
SERC_004_2019.jpg,368,264,399,302,Tree
SERC_004_2019.jpg,325,210,399,270,Tree
SERC_004_2019.jpg,1,214,29,241,Tree
SERC_004_2019.jpg,14,268,66,315,Tree
SERC_004_2019.jpg,9,321,33,357,Tree
SERC_004_2019.jpg,294,366,368,399,Tree
SERC_004_2019.jpg,368,359,399,399,Tree
SERC_004_2019.jpg,345,168,399,212,Tree
SERC_004_2019.jpg,299,303,399,352,Tree
SERC_004_2019.jpg,161,373,228,399,Tree
SERC_004_2019.jpg,182,311,238,349,Tree
SERC_004_2019.jpg,242,313,302,371,Tree
SERC_004_2019.jpg,340,6,386,47,Tree
SERC_004_2019.jpg,179,93,222,133,Tree
SERC_004_2019.jpg,57,213,89,246,Tree
SERC_004_2019.jpg,25,238,60,265,Tree
SERC_004_2019.jpg,68,247,157,323,Tree
SERC_004_2019.jpg,150,175,183,211,Tree
